;Lunes;Martes;Miercoles;Jueves;Viernes
8:00;A00061344;A00357677;A00351769;A00357677;A00364835
8:00;A00309928;A00098956;A00345789;A00309928;A00049176
8:00;A00354849;A00345730;A00354849;A00345730;A00345789
8:00;A00130500;A00134296;A00130500;A00134296;A00355262
9:00;A00347886;A00357677;A00354532;A00345770;A00345586
9:00;A00309928;A00351466;A00351769;A00357677;A00359320
9:00;A00354694;A00358767;A00362108;A00351466;A00049176
9:00;A00061344;A00351461;A00345730;A00309928;A00358767
9:00;A00362772;A00361658;A00358041;A00345730;A00098956
9:00;#N/D;#N/D;#N/D;#N/D;A00364835
9:00;A00345730;A00134296;A00187040;A00134296;A00345730
10:00;A00345789;A00357677;A00098956;A00345770;A00345586
10:00;A00347886;A00351466;A00361651;A00309928;A00364835
10:00;A00345586;A00358767;A00362108;A00351466;A00049176
10:00;A00362210;A00351657;A00354532;A00362210;A00365076
10:00;A00362772;A00351461;A00358041;A00357671;A00357671
10:00;A00351657;A00187040;A00348942;A00187040;A00354694
10:00;A00363431;A00134296;A00346249;A00134296;A00130500
11:00;A00361658;A00040164;A00309928;A00345770;A00345586
11:00;A00347886;A00361651;A00098956;A00356255;A00364835
11:00;A00351657;A00309928;A00362210;A00361651;A00354849
11:00;A00362210;A00351461;A00348942;A00309928;A00357671
11:00;#N/D;A00346337;#N/D;#N/D;A00345770
11:00;A00309928;A00356255;#N/D;#N/D;A00348942
11:00;A00352564;A00187040;A00346249;A00187040;A00346337
12:00;A00040164;A00040164;A00098956;A00345770;A00362210
12:00;A00347886;A00361651;A00362210;A00356255;A00345770
12:00;A00362210;A00358041;A00348942;A00361651;#N/D
12:00;A00351657;A00351461;#N/D;A00366287;#N/D
12:00;A00361658;A00356255;#N/D;#N/D;#N/D
12:00;#N/D;A00309928;#N/D;#N/D;#N/D
12:00;A00352564;A00355262;A00352564;A00352564;A00354849
13:00;A00347886;A00130540;A00130540;A00366287;A00346337
13:00;A00130540;A00358041;A00345789;A00130540;A00347886
13:00;#N/D;#N/D;#N/D;#N/D;#N/D
13:00;#N/D;#N/D;#N/D;#N/D;#N/D
14:00;A00350762;A00345770;A00350762;A00346007;A00366997
14:00;A00362108;A00346007;A00040164;A00061344;A00357677
14:00;A00354532;A00358767;A00366997;A00358767;A00354233
14:00;A00357677;A00351461;A00362772;A00344610;A00355430
14:00;A00359320;A00358041;#N/D;A00363431;#N/D
14:00;#N/D;#N/D;#N/D;A00040164;#N/D
14:00;A00352564;A00346249;A00187040;A00358041;A00130500
15:00;A00354532;A00345770;A00350762;A00346007;A00355430
15:00;A00350762;A00346007;A00345789;A00365076;A00354233
15:00;A00347886;A00359320;A00351657;A00061344;A00366997
15:00;A00362108;A00358041;A00362210;A00344610;A00345730
15:00;A00359320;A00358767;#N/D;A00363431;#N/D
15:00;#N/D;A00351461;#N/D;#N/D;#N/D
15:00;A00187040;A00346249;A00187040;A00358041;A00130500
16:00;A00350762;A00345770;A00350762;A00061344;A00354233
16:00;A00347886;A00345586;A00345586;A00345586;A00061344
16:00;A00344610;A00351461;A00345789;A00354849;#N/D
16:00;A00362108;A00361616;#N/D;A00350762;A00361651
16:00;A00358767;A00355815;A00355430;#N/D;#N/D
16:00;A00366287;A00351769;A00351657;A00348942;#N/D
16:00;A00187040;A00346337;A00310572;A00346337;A00134296
17:00;A00350762;A00345770;#N/D;A00061344;A00061344
17:00;A00347886;A00345586;A00345586;A00345586;A00354233
17:00;A00345789;A00361616;A00361651;A00345789;A00355815
17:00;A00351657;A00351461;A00355430;A00350762;A00361651
17:00;A00358767;A00355815;A00350762;#N/D;#N/D
17:00;A00355815;A00351769;A00061344;A00348942;#N/D
17:00;A00187040;A00346337;A00310572;A00346337;A00134296
18:00;#N/D;A00347886;A00346007;A00362210;A00061344
18:00;A00355815;A00355815;A00361651;A00347886;A00346007
18:00;#N/D;#N/D;#N/D;#N/D;#N/D
18:00;A00187040;A00355262;A00187040;A00358041;A00134296
19:00;#N/D;A00347886;A00346007;A00362210;A00357677
19:00;A00355815;A00355815;A00357677;#N/D;A00346007
19:00;#N/D;#N/D;#N/D;#N/D;#N/D
19:00;A00187040;A00355262;A00187040;A00358041;A00134296
*;;;;;
